,Operador,cant_Accidentes
829,Islands of the Bahamas Inc,1
830,Wigmo,1
831,Ghana Airways,1
832,Flying W Airways,1
833,Aero Transporti Italiani,5
834,Compania Mexicana de Aviacion,1
835,Air South,1
836,Trans Isle Air,1
837,Canairelief Air,1
838,Private Charter,4
839,Military - Royal Lao Air Force,1
840,TAME Ecuador,2
841,SATENA,10
842,Allegheny Airlines / Forth Corporation,1
843,Nordchurchaid,1
844,Austin Airways,2
845,Nigeria Airways,5
846,Laos Air,2
847,Military - Royal Hellenic Air Force,1
848,Polynesian Airlines,2
849,Charter -Federal Electricity Commission,1
850,TAG Airlines,1
851,Pilgrim Airlines,2
852,Lineas Aéreas La Urraca,2
853,Compania Dominicana de Aviacion,1
854,Air Congo,2
855,Bavaria Flug,1
856,Paraense Transportes Aereos,1
857,Grand Canyon Airlines,3
858,Royal Air Maroc,3
859,Military - Italian Air Force,2
860,Antillean Airlines,1
861,Somali Airlines,3
862,Executive Jet Sales Inc.,1
863,Aeroservicios,2
864,Lehigh Acres Development Inc.,1
865,Military - LADE,1
866,Reeder Flying Service,1
867,Dan Air Services,4
868,Military - United States Navy,2
869,Lineas Aereas Nacionales SA (Peru),0
870,Dutch Continental Airways,1
871,Trans International Airlines,1
872,"Charter, Golden Eagle Aviation Inc.",1
873,National Airways,16
874,Saturn Airways,2
875,Aerocosta Colombia,1
876,Southern Airways,2
877,Capitol Airlines,1
878,Cargolux,1
879,Jamair,2
880,Trans Caribbean Airways,1
881,Rousseau Aviation,1
882,American Airlines / Private,1
883,Balkan Bulgarian Airlines,10
884,Fuerza Aérea del Peru,6
885,L'Armée de L'Air,1
886,Korean Airlines,10
887,TAM (Transportes Aereos Militares),0
888,New England Aviaiton,1
889,Aviogenex (Yugoslavia),0
890,Aerolineas Flecha Austral - ALFA,1
891,Hughes Airwest  / Military - US Marine Air Corps,1
892,SAVCO,2
893,Shelter Cove Sea Park,1
894,Toa Domestic Airline (Japan),0
895,Air Ivoire,1
896,All Nippon Airways /  Japanese Air Force,1
897,Downeast Airlines,2
898,Pan International,1
899,Scenic Air Lines,1
900,Monmouth Airways,1
901,Merpati Nusantara Airlines,18
902,Sudan Airways,5
903,SAESA,1
904,Lineas Aéreas la Urraca,1
905,Miliitary - SATENA,1
906,Royal Air Laos/PENAS,1
907,TAC Colombia,1
908,Sterling Airways,2
909,Egyptair,2
910,Helaire Helicopter,1
911,Aerotechnia,1
912,Military - Russian Navy,3
913,General Air,3
914,Amazonese Importacao e Exportacao,1
915,Petrolium Helicopter,1
916,North Central Airlines / Air Wisconsin,1
917,Pacific Southwest Airlines,3
918,Military - Royal Norwegian Air Force,1
919,Charter,52
920,AVIANCA / AVIANCA,1
921,Interflug,4
922,Burma Airways,15
923,Lineas Areas Venezolanas,1
924,Ansett Airlines of Papua New Guinea,1
925,Servicios Aereas Virgen de Copacabana,1
926,Military - Royal Nepalese Air Force,2
927,Cambodia Air,3
928,Uruguayan Air Force - TAMU,1
929,Air Melanesie,1
930,Metro Air Systems,1
931,Delta Air Lines/ North Central Airlines,1
932,Air Guadeloupe,2
933,American Express Leasing,1
934,TAN,6
935,Petrolium Helo Inc.,1
936,Aerovias Urraca,1
937,Libya Arab Airlines,2
938,Lineas Aereas de Espana/Spantax SA Transportes,1
939,Invicta International Airlines (UK),0
940,Military - U.S. Navy / NASA,1
941,Bakhtar Afghan Airlines,3
942,Air Gaspé,1
943,Aeromexico,5
944,Ozark Air Lines,2
945,Air Hawaii,1
